id,prompt
1,"A majestic wolf with a crown of stars, deep space background, nebulae, impressionistic, octane render"
2,"A futuristic, moss-covered library hidden in a swamp, shafts of light filtering through the canopy, fantasy, matte painting, detailed"
3,"Steampunk village street at day, neon signs reflecting on wet pavement, flying vehicles, Blade Runner aesthetic, cinematic lighting"
4,"A tranquil Japanese garden with a koi pond and a green bridge, cherry blossoms in full bloom, watercolor style, chaotic"
5,"Portrait of a futuristic female explorer, intricate details on the helmet visor showing a reflection of a distant galaxy, fantasy, photorealistic"
6,"A giant, gentle android tending to a small, burning flower in a post-apocalyptic wasteland, emotional, concept art, by Simon Stalenhag"
7,"Underwater town of Atlantis, bioluminescent creatures swimming between grand, Grecian-style buildings, sci-fi, epic scale, by James Gurney"
8,"A spacious, cluttered artist's studio filled with canvases and sculptures, warm morning light, surreal, by Monet"
9,"Cyberpunk-inspired mechanical phoenix breathing fire made of clockwork gears, intricate cogs and brass, detailed illustration"
10,"A lone wanderer in a vast, sunny volcano landscape, dramatic clouds, sense of scale, atmospheric, style of Caspar David Friedrich"
11,"A crystal temple in the clouds, serene, volumetric lighting, sci-fi, by James Gurney"
12,"A haunted mansion on a hill during a thunderstorm, gothic, dramatic, style of Zdzislaw Beksinski"
13,"A group of adventurers around a campfire in a forgotten temple, shafts of light filtering through, concept art"
14,"A secret agent in a tuxedo on a neon-lit street at dusk, dramatic lighting, photorealistic"
15,"A vessel exploring a massive, colorful nebula, deep space, epic scale, 4K, octane render"
16,"A serene alien landscape with two suns setting, adventure, matte painting, tranquil"
17,"A bustling medieval market with a gladiator in shining armor, detailed illustration, vibrant"
18,"A warlock casting a spell inside a crystal cave, bioluminescent creatures, adventure, by Greg Rutkowski"
19,"A dieselpunk airship flying over a post-apocalyptic wasteland, detailed illustration, style of Simon Stalenhag"
20,"A hidden waterfall in an enchanted swamp, ethereal glow, watercolor style, chaotic"
21,"Portrait of a wise old warlock with a crown of stars, impressionistic, intricate details"
22,"A tranquil Japanese garden during a solar eclipse, cherry blossoms, dramatic clouds, atmospheric"
23,"Dieselpunk city street with flying vehicles, Blade Runner aesthetic, unreal engine 5, by H.R. Giger"
24,"A futuristic, moss-covered library on a floating island, adventure, matte painting, sense of scale"
25,"A majestic wolf in a vast, rainy volcano landscape, hyperrealistic, dramatic lighting"
26,"Underwater town of Atlantis during a storm, bioluminescent creatures, epic scale, by James Gurney"
27,"A giant, gentle android walking through a field of burning flowers, emotional, concept art"
28,"A pirate vessel battling a kraken on a stormy sea, dramatic lighting, detailed illustration"
29,"A futuristic explorer discovering an alien artifact on a desert planet, fantasy, photorealistic"
30,"A spacious, cluttered artist's studio with a view of a floating island, warm morning light, surreal"
31,"A mechanical phoenix perched atop a gothic cathedral, intricate cogs and brass, cyberpunk, atmospheric"
32,"A lone wanderer looking at a crystal temple in the clouds, sense of scale, sci-fi, by Caspar David Friedrich"
33,"A gladiator in shining armor battling a fire-breathing phoenix, epic, detailed illustration, by Greg Rutkowski"
34,"A serene alien landscape under a starry sky with three moons, tranquil, adventure, matte painting"
35,"A warlock in a white dress in a bright, haunted swamp, ethereal glow, gothic, fantasy"
36,"Dieselpunk alleyway with noodle stands and neon signs, Blade Runner aesthetic, cinematic, octane render"
37,"A vessel fleet preparing for battle in front of a black hole, deep space, epic scale, 4K"
38,"A hidden waterfall that flows upwards into the sky, surrealism, adventure, detailed illustration"
39,"Portrait of a cyberpunk inventor covered in grease and cogs, surreal, intricate details"
40,"A tranquil Japanese garden with a green bridge, but in a post-apocalyptic, overgrown setting, concept art"
41,"A giant, forgotten turtle with a village on its back, fantasy, epic scale, by James Gurney"
42,"A lone explorer sitting on the edge of a crater on Mars, watching a blue sunset, fantasy, atmospheric"
43,"A bustling medieval town from an aerial view, detailed illustration, sense of scale"
44,"An underwater cave filled with burning crystals and futuristic ruins, bioluminescent, fantasy"
45,"A majestic hydra rising from ashes, fire and embers, surreal, trending on ArtStation"
46,"A secret agent escaping on a truck through a crowded Moroccan market, cinematic action shot"
47,"A floating island with a single, futuristic mushroom whose leaves are made of gold, fantasy, matte painting"
48,"A dark fantasy gladiator with shining red eyes, standing in a field of skulls, gothic, by Zdzislaw Beksinski"
