id,prompt
1,"A majestic lion with a crown of stars, deep space background, nebulae, hyperrealistic, octane render"
2,"An ancient, moss-covered library hidden in a forest, shafts of light filtering through the canopy, fantasy, matte painting, detailed"
3,"Cyberpunk city street at night, neon signs reflecting on wet pavement, flying vehicles, Blade Runner aesthetic, cinematic lighting"
4,"A tranquil Japanese garden with a koi pond and a red bridge, cherry blossoms in full bloom, watercolor style, peaceful"
5,"Portrait of a futuristic female astronaut, intricate details on the helmet visor showing a reflection of a distant galaxy, sci-fi, photorealistic"
6,"A giant, gentle robot tending to a small, glowing flower in a post-apocalyptic wasteland, emotional, concept art, by Simon Stalenhag"
7,"Underwater city of Atlantis, bioluminescent creatures swimming between grand, Grecian-style buildings, fantasy, epic scale, by James Gurney"
8,"A cozy, cluttered artist's studio filled with canvases and sculptures, warm morning light, impressionistic style, by Monet"
9,"Steampunk-inspired mechanical dragon breathing fire made of clockwork gears, intricate cogs and brass, detailed illustration"
10,"A lone wanderer in a vast, snowy mountain landscape, dramatic clouds, sense of scale, atmospheric, style of Caspar David Friedrich"
11,"A crystal palace in the clouds, serene, volumetric lighting, fantasy, by James Gurney"
12,"A haunted mansion on a hill during a thunderstorm, gothic, atmospheric, style of Zdzislaw Beksinski"
13,"A group of adventurers around a campfire in a forgotten temple, shafts of light filtering through, concept art"
14,"A secret agent in a tuxedo on a neon-lit street at night, cinematic lighting, photorealistic"
15,"A spaceship exploring a massive, colorful nebula, deep space, epic scale, 4K, octane render"
16,"A serene alien landscape with two suns setting, sci-fi, matte painting, tranquil"
17,"A bustling medieval market with a knight in shining armor, detailed illustration, vibrant"
18,"A sorceress casting a spell inside a crystal cave, bioluminescent creatures, fantasy, by Greg Rutkowski"
19,"A steampunk airship flying over a post-apocalyptic wasteland, detailed illustration, style of Simon Stalenhag"
20,"A hidden waterfall in an enchanted forest, ethereal glow, watercolor style, peaceful"
21,"Portrait of a wise old wizard with a crown of stars, hyperrealistic, intricate details"
22,"A tranquil Japanese garden during a solar eclipse, cherry blossoms, dramatic clouds, atmospheric"
23,"Cyberpunk city street with flying vehicles, Blade Runner aesthetic, unreal engine 5, by H.R. Giger"
24,"An ancient, moss-covered library on a floating island, fantasy, matte painting, sense of scale"
25,"A majestic lion in a vast, snowy mountain landscape, hyperrealistic, dramatic lighting"
26,"Underwater city of Atlantis during a storm, bioluminescent creatures, epic scale, by James Gurney"
27,"A giant, gentle robot walking through a field of glowing flowers, emotional, concept art"
28,"A pirate ship battling a kraken on a stormy sea, cinematic lighting, detailed illustration"
29,"A futuristic astronaut discovering an alien artifact on a desert planet, sci-fi, photorealistic"
30,"A cozy, cluttered artist's studio with a view of a floating island, warm morning light, impressionistic style"
31,"A mechanical dragon perched atop a gothic cathedral, intricate cogs and brass, steampunk, atmospheric"
32,"A lone wanderer looking at a crystal palace in the clouds, sense of scale, fantasy, by Caspar David Friedrich"
33,"A knight in shining armor battling a fire-breathing dragon, epic, detailed illustration, by Greg Rutkowski"
34,"A serene alien landscape under a starry sky with three moons, tranquil, sci-fi, matte painting"
35,"A sorceress in a white dress in a dark, haunted forest, ethereal glow, gothic, fantasy"
36,"Cyberpunk alleyway with noodle stands and neon signs, Blade Runner aesthetic, cinematic, octane render"
37,"A spaceship fleet preparing for battle in front of a black hole, deep space, epic scale, 4K"
38,"A hidden waterfall that flows upwards into the sky, surrealism, fantasy, detailed illustration"
39,"Portrait of a steampunk inventor covered in grease and cogs, photorealistic, intricate details"
40,"A tranquil Japanese garden with a red bridge, but in a post-apocalyptic, overgrown setting, concept art"
41,"A giant, ancient turtle with a city on its back, fantasy, epic scale, by James Gurney"
42,"A lone astronaut sitting on the edge of a crater on Mars, watching a blue sunset, sci-fi, atmospheric"
43,"A bustling medieval city from an aerial view, detailed illustration, sense of scale"
44,"An underwater cave filled with glowing crystals and ancient ruins, bioluminescent, fantasy"
45,"A majestic phoenix rising from ashes, fire and embers, hyperrealistic, trending on ArtStation"
46,"A secret agent escaping on a motorcycle through a crowded Moroccan market, cinematic action shot"
47,"A floating island with a single, ancient tree whose leaves are made of gold, fantasy, matte painting"
48,"A dark fantasy knight with glowing red eyes, standing in a field of skulls, gothic, by Zdzislaw Beksinski"
49,"A beautiful elven city built into the side of a mountain, fantasy, epic scale, detailed illustration"
50,"A robot samurai dueling in a bamboo forest, sci-fi, cinematic lighting, detailed"
51,"An Art Nouveau portrait of a forest spirit, intricate filigree details, elegant, by Alphonse Mucha"
52,"Brutalist architecture on a desolate alien planet, stark shadows, monolithic, sci-fi concept art"
53,"A high-speed chase between two futuristic hovercrafts through a dense jungle, dynamic motion blur, cinematic"
54,"Pixel art of a cozy campfire scene in a snowy forest, 16-bit, retro gaming aesthetic, warm glow"
55,"Ukiyo-e style depiction of a samurai facing a mythical Oni demon, traditional Japanese woodblock print, by Hokusai"
56,"A colossal statue half-buried in a sand dune, desert landscape, sense of forgotten history, style of Syd Mead"
57,"A bioluminescent mushroom forest at night, glowing spores, fantasy, ethereal, trending on ArtStation"
58,"A 1920s New Orleans jazz club, smoky atmosphere, vibrant, realistic, characters in period clothing"
59,"A feeling of loneliness, depicted as a single lighthouse against a stormy sea, atmospheric, oil painting"
60,"A detailed cross-section of a futuristic city, showing layers of traffic and architecture, technical illustration"
61,"A glass-blown sculpture of a dragon, translucent, intricate details, studio lighting, photorealistic"
62,"A minimalist black and white photograph of a single, twisted tree in a field of fog, high contrast"
63,"A battle between a giant robot and a kaiju in a burning city, epic scale, cinematic, style of Pacific Rim"
64,"A lush, overgrown greenhouse filled with exotic, glowing plants, fantasy, peaceful, detailed"
65,"A surrealist painting of a clock melting over a floating island, style of Salvador Dali"
66,"A Viking longship sailing through a fjord, dramatic mountains, atmospheric, matte painting"
67,"An elegant ballroom scene in a vampire's castle, gothic architecture, characters in Victorian dress, cinematic lighting"
68,"A close-up portrait of a tribal warrior with intricate face paint, hyperrealistic, powerful expression"
69,"A city made of crystal and light, built by an advanced civilization, sci-fi, fantasy, glowing"
70,"A lone cyberpunk detective standing in the rain, looking at a holographic advertisement, noir aesthetic"
71,"An abstract explosion of color and shapes, representing a burst of creativity, digital art, vibrant"
72,"A peaceful scene of a monk meditating in a temple high in the Himalayas, serene, atmospheric"
73,"A steampunk inventor's workshop, cluttered with strange gadgets and blueprints, warm, detailed illustration"
74,"A photorealistic image of an astronaut planting a flag on a planet with a purple sky, sci-fi"
75,"A whimsical watercolor painting of animals having a tea party in a forest, children's book illustration style"
76,"A massive, ancient library where the bookshelves stretch into the sky, sense of infinite knowledge, fantasy"
77,"A dynamic action shot of a superhero landing in a city street, causing the ground to crack, comic book style"
78,"A tranquil scene of rice paddies in Vietnam at sunrise, god rays, atmospheric, photorealistic"
79,"A dark fantasy landscape with twisted trees and a blood-red moon, horror, style of Dark Souls"
80,"A beautiful portrait of a woman made entirely of flowers and leaves, surreal, intricate, art nouveau"
81,"A futuristic racing circuit in the clouds, sleek vehicles, high speed, concept art, style of F-Zero"
82,"A medieval alchemist's laboratory, glowing potions, mysterious symbols, detailed, fantasy"
83,"A giant, friendly creature made of moss and stone, helping a small child, emotional, concept art"
84,"A noir detective office, 1940s style, light streaming through blinds, high contrast, black and white"
85,"An epic fantasy battle with thousands of soldiers, aerial view, sense of scale, detailed illustration"
86,"A serene underwater scene with a coral reef and colorful fish, photorealistic, vibrant"
